School Name,Reps,Date Visited,School Address,City,State,Zip Code,School Phone,School Type,Location,Lat,Long
Alan Leis Center,,,7423 Camp Alger Ave,Falls Church,VA,22042,703-698-0400,Center,"7423 Camp Alger Ave, Falls Church, VA 22042",38.856876,-77.202425
Aldrin Elem,,,11375 Center Harbor Rd,Reston,VA,22094,703-904-3800,Elementary School,"11375 Center Harbor Rd, Reston, VA 22094",38.979736,-77.337967
Annandale High,,5/4/17,4700 Medford Dr,Annandale,VA,22003,703-642-4100,High School,"4700 Medford Dr, Annandale, VA 22003",38.8219346,-77.2081586
Annandale Terrace Elem,,8/29/16,7604 Herald St,Annandale,VA,22003,703-658-5600,Elementary School,"7604 Herald St, Annandale, VA 22003",38.8275434,-77.2084486
Annandale Trans ESOL Center,,,4700 Medford Dr,Annandale,VA,22003,703-642-4100,Alternative School,"4700 Medford Dr, Annandale, VA 22003",38.8219346,-77.2081586
Armstrong Elem,,,11900 Lake Newport Rd,Reston,VA,22094,703-375-4800,Elementary School,"11900 Lake Newport Rd, Reston, VA 22094",38.9800812,-77.3585222
Baileys Elem,,4/21/17,6111 Knollwood Dr,Falls Church,VA,22041,703-575-6800,Elementary School,"6111 Knollwood Dr, Falls Church, VA 22041",38.851973,-77.145282
Baileys Upper Elem,,5/30/17,6245 Leesburg Pike,Falls Church,VA,22044,703-503-2700,Elementary School,"6245 Leesburg Pike, Falls Church, VA 22044",38.8683759,-77.1534533
Beech Tree Elem,,,3401 Beech Tree Lane,Falls Church,VA,22042,703-531-2600,Elementary School,"3401 Beech Tree Lane, Falls Church, VA 22042",38.8528288,-77.181192
Belle View Elem,,10/17/16,6701 Fort Hunt Rd,Alexandria,VA,22307,703-660-8300,Elementary School,"6701 Fort Hunt Rd, Alexandria, VA 22307",38.7718273,-77.061067
Belvedere Elem,,11/9/16,6540 Columbia Pike,Falls Church,VA,22041,703-916-6800,Elementary School,"6540 Columbia Pike, Falls Church, VA 22041",38.8385565,-77.1686711
Bonnie Brae Elem,,,5420 Sideburn Rd,Fairfax,VA,22032,703-321-3900,Elementary School,"5420 Sideburn Rd, Fairfax, VA 22032",38.80315,-77.310082
Braddock Elem,,,7825 Heritage Dr,Annandale,VA,22003,703-914-7300,Elementary School,"7825 Heritage Dr, Annandale, VA 22003",38.822745,-77.215311
Bren Mar Park Elem,,,6344 Beryl Rd,Alexandria,VA,22312,703-914-7200,Elementary School,"6344 Beryl Rd, Alexandria, VA 22312",38.8021203,-77.1575874
Brookfield Elem,,,4200 Lees Corner Rd,Chantilly,VA,20151,703-814-8700,Elementary School,"4200 Lees Corner Rd, Chantilly, VA 20151",38.8821889,-77.419317
Bryant Aim,,,2709 Popkins Lane,Alexandria,VA,22306,703-660-2001,Alternative School,"2709 Popkins Lane, Alexandria, VA 22306",38.7642237,-77.0800219
Bryant Alc,,,2709 Popkins Ln,Alexandria,VA,22312,703-658-5800,Alternative School,"2709 Popkins Ln, Alexandria, VA 22312",38.7642237,-77.0800219
Bryant Alt High,,,2709 Popkins Lane,Alexandria,VA,22306,703-660-2000,Alternative School,"2709 Popkins Lane, Alexandria, VA 22306",38.7642237,-77.0800219
Bryant Trans Esol Center,,,2709 Popkins Ln,Alexandria,VA,22306,703-660-2000,Alternative School,"2709 Popkins Ln, Alexandria, VA 22306",38.7642237,-77.0800219
Bucknell Elem,,,6925 University Dr,Alexandria,VA,22307,703-660-2900,Elementary School,"6925 University Dr, Alexandria, VA 22307",38.767128,-77.073659
Bull Run Elem,,5/12/17,15301 Lee Hwy,Centreville,VA,20121,703-227-1400,Elementary School,"15301 Lee Hwy, Centreville, VA 20121",38.8286131,-77.4757065
Burke Alt Learning,,11/29/16,9645 Burke Lake Road,Burke,VA,22015,703-426-7300,Center,"9645 Burke Lake Road, Burke, VA 22015",38.783736,-77.277936
Burke School,,11/29/16,9645 Burke Lake Rd,Burke,VA,22015,703-426-7300,Center,"9645 Burke Lake Rd, Burke, VA 22015",38.783736,-77.277936
Bush Hill Elem,,,5927 Westchester St,Alexandria,VA,22310,703-924-5600,Elementary School,"5927 Westchester St, Alexandria, VA 22310",38.7902835,-77.1240346
Camelot Elem,,3/6/17,8100 Guinevere Dr,Annandale,VA,22003,703-645-7000,Elementary School,"8100 Guinevere Dr, Annandale, VA 22003",38.848159,-77.2250901
Cameron Elem,,,3434 Campbell Dr,Alexandria,VA,22303,703-329-2100,Elementary School,"3434 Campbell Dr, Alexandria, VA 22303",38.800511,-77.091328
Canterbury Woods Elem,,,4910 Willets Dr,Annandale,VA,22003,703-764-5600,Elementary School,"4910 Willets Dr, Annandale, VA 22003",38.820548,-77.2496192
Cardinal Forest Elem,,,8600 Forrester Blvd,Springfield,VA,22152,703-923-5200,Elementary School,"8600 Forrester Blvd, Springfield, VA 22152",38.792071,-77.2405132
Carson Middle,,12/8/16,13618 McLearen Rd,Herndon,VA,20171,703-925-3600,Middle School,"13618 McLearen Rd, Herndon, VA 20171",38.9274461,-77.4195742
Cedar Lane School,,,101 Cedar Lane SW,Vienna,VA,22180,703-208-2400,Center,"101 Cedar Lane SW, Vienna, VA 22180",38.883969,-77.246084
Centre Ridge Elem,,,14400 New Braddock Rd,Centreville,VA,20121,703-227-2600,Elementary School,"14400 New Braddock Rd, Centreville, VA 20121",38.8257615,-77.4457727
Centreville Ctr-Mountain View,,,5775 Spindle Ct,Centreville,VA,20120,703-227-2316,Alternative School,"5775 Spindle Ct, Centreville, VA 20120",38.8375962,-77.4254389
Centreville Elem,,5/19/17,14330 Green Trails Blvd,Centreville,VA,20121,703-502-3500,Elementary School,"14330 Green Trails Blvd, Centreville, VA 20121",38.818721,-77.441012
Centreville High,,10/19/16,6001 Union Mill Rd,Clifton,VA,20124,703-802-5400,High School,"6001 Union Mill Rd, Clifton, VA 20124",38.8250425,-77.4110741
Chantilly High,,3/20/17,4201 Stringfellow Rd,Chantilly,VA,20151,703-222-8100,High School,"4201 Stringfellow Rd, Chantilly, VA 20151",38.880314,-77.406255
Cherry Run Elem,,,9732 Ironmaster Dr,Burke,VA,22015,703-923-2800,Elementary School,"9732 Ironmaster Dr, Burke, VA 22015",38.768248,-77.283978
Chesterbrook Elem,,,1753 Kirby Rd,McLean,VA,22101,703-714-8200,Elementary School,"1753 Kirby Rd, McLean, VA 22101",38.9184942,-77.1551777
Churchill Road Elem,,,7100 Churchill Rd,McLean,VA,22101,703-288-8400,Elementary School,"7100 Churchill Rd, McLean, VA 22101",38.9466071,-77.1894451
Clearview Elem,,,12635 Builders Rd,Herndon,VA,22170,703-708-6000,Elementary School,"12635 Builders Rd, Herndon, VA 22170",38.9834195,-77.3910151
Clermont Elem,,,5720 Clermont Dr,Alexandria,VA,22310,703-921-2400,Elementary School,"5720 Clermont Dr, Alexandria, VA 22310",38.794406,-77.111636
Coates Elem,,,2480 River Birch Road,Herndon,VA,20171,703-713-3000,Elementary School,"2480 River Birch Road, Herndon, VA 20171",38.952087,-77.4192166
Colin Powell Elem,,2/3/17,13340 Leland Rd.,Centreville,VA,20120,571-522-6000,Elementary School,"13340 Leland Rd., Centreville, VA 20120",38.8460863,-77.4079164
Columbia Elem,,11/1/16,6720 Alpine Dr,Annandale,VA,22003,703-916-2500,Elementary School,"6720 Alpine Dr, Annandale, VA 22003",38.8292054,-77.1757882
Colvin Run Elem,,,1400 Trap Rd,Vienna,VA,22182,703-757-3000,Elementary School,"1400 Trap Rd, Vienna, VA 22182",38.9466307,-77.2647014
Cooper Middle,,,977 Balls Hill Rd,McLean,VA,22101,703-442-5800,Middle School,"977 Balls Hill Rd, McLean, VA 22101",38.951442,-77.191757
Crestwood Elem,,11/10/16,6010 Hanover Ave,Springfield,VA,22150,703-923-5400,Elementary School,"6010 Hanover Ave, Springfield, VA 22150",38.786987,-77.195648
Crossfield Elem,,,2791 Fox Mill Rd,Herndon,VA,22071,703-295-1100,Elementary School,"2791 Fox Mill Rd, Herndon, VA 22071",38.9150073,-77.3621346
Cub Run Elem,,,5301 Sully Station Dr,Centreville,VA,20120,703-633-7500,Elementary School,"5301 Sully Station Dr, Centreville, VA 20120",38.8657159,-77.4586118
Cunningham Park Elem,,,1001 Park St SE,Vienna,VA,22180,703-255-5600,Elementary School,"1001 Park St SE, Vienna, VA 22180",38.8922809,-77.25014
Daniels Run Elem,,,3705 Old Lee Hwy,Fairfax,VA,22030,703-279-8400,Elementary School,"3705 Old Lee Hwy, Fairfax, VA 22030",38.852161,-77.2958542
Davis Center,,,7731 Leesburg Pike,Falls Church,VA,22043,703-714-5600,Center,"7731 Leesburg Pike, Falls Church, VA 22043",38.9051435,-77.2128744
Deer Park Elem,,8/25/17,15109 Carlbern Dr,Centreville,VA,20120,703-802-5000,Elementary School,"15109 Carlbern Dr, Centreville, VA 20120",38.8557664,-77.4708875
Dogwood Elem,,,12300 Glade Dr,Reston,VA,22091,703-262-3100,Elementary School,"12300 Glade Dr, Reston, VA 22091",38.9426306,-77.3710324
Dranesville Elem,,,1515 Powells Tavern Pl,Herndon,VA,20170,703-326-5200,Elementary School,"1515 Powells Tavern Pl, Herndon, VA 20170",38.9964375,-77.3870999
Dunn Loring Center,,9/19/16,2334 Gallows Rd,Dunn Loring,VA,22027,,Center,"2334 Gallows Rd, Dunn Loring, VA 22027",38.8956145,-77.2255997
Dunn Loring Early Childhood,,9/19/16,2334 Gallows Road,Dunn Loring,VA,22027,,Center,"2334 Gallows Road, Dunn Loring, VA 22027",38.8956145,-77.2255997
Eagle View Elem,,5/10/17,4500 Dixie Hill Road,Fairfax,VA,22030,703-322-3100,Elementary School,"4500 Dixie Hill Road, Fairfax, VA 22030",38.8515216,-77.3631689
Edison High,,,5801 Franconia Rd,Alexandria,VA,22310,703-924-8000,High School,"5801 Franconia Rd, Alexandria, VA 22310",38.7822313,-77.1338854
Edison Satellite Maintenance,,,5805 Franconia Rd,Alexandria,VA,22310,703-313-6000,Administration Building,"5805 Franconia Rd, Alexandria, VA 22310",38.7840774,-77.1327289
Energy Zone Food Service Ctr,,,6840 Industrial Rd.,Springfield,VA,22151,703-813-4800,Administration Building,"6840 Industrial Rd., Springfield, VA 22151",38.7995982,-77.1822052
Fairfax Education Association,,,3917 Old Lee Highway,Fairfax,VA,22030,703-352-7300,FEA,"3917 Old Lee Highway, Fairfax, VA 22030",38.8465625,-77.3025597
Fairfax HS,,,3501 Rebel Run,Fairfax,VA,22030,703-219-2200,High School,"3501 Rebel Run, Fairfax, VA 22030",38.8598925,-77.2861677
Fairfax Villa Elem,,2/9/17,10900 Santa Clara Dr,Fairfax,VA,22030,703-267-2800,Elementary School,"10900 Santa Clara Dr, Fairfax, VA 22030",38.8400618,-77.3235275
