Aldrin Elem,11375 Center Harbor Rd,Reston,VA,22094,703-904-3800,Elementary School,3,"11375 Center Harbor Rd, Reston, VA 22094",38.979736,-77.337967
Annandale Terrace Elem,7604 Herald St,Annandale,VA,22003,703-658-5600,Elementary School,2,"7604 Herald St, Annandale, VA 22003",38.8275434,-77.2084486
Armstrong Elem,11900 Lake Newport Rd,Reston,VA,22094,703-375-4800,Elementary School,3,"11900 Lake Newport Rd, Reston, VA 22094",38.9800812,-77.3585222
Baileys Elem,6111 Knollwood Dr,Falls Church,VA,22041,703-575-6800,Elementary School,1,"6111 Knollwood Dr, Falls Church, VA 22041",38.851973,-77.145282
Baileys Upper Elem,6245 Leesburg Pike,Falls Church,VA,22044,703-503-2700,Elementary School,1,"6245 Leesburg Pike, Falls Church, VA 22044",38.8683759,-77.1534533
Beech Tree Elem,3401 Beech Tree Lane,Falls Church,VA,22042,703-531-2600,Elementary School,1,"3401 Beech Tree Lane, Falls Church, VA 22042",38.8528288,-77.181192
Belle View Elem,6701 Fort Hunt Rd,Alexandria,VA,22307,703-660-8300,Elementary School,6,"6701 Fort Hunt Rd, Alexandria, VA 22307",38.7718273,-77.061067
Belvedere Elem,6540 Columbia Pike,Falls Church,VA,22041,703-916-6800,Elementary School,1,"6540 Columbia Pike, Falls Church, VA 22041",38.8385565,-77.1686711
Bonnie Brae Elem,5420 Sideburn Rd,Fairfax,VA,22032,703-321-3900,Elementary School,2,"5420 Sideburn Rd, Fairfax, VA 22032",38.80315,-77.310082
Braddock Elem,7825 Heritage Dr,Annandale,VA,22003,703-914-7300,Elementary School,2,"7825 Heritage Dr, Annandale, VA 22003",38.822745,-77.215311
Bren Mar Park Elem,6344 Beryl Rd,Alexandria,VA,22312,703-914-7200,Elementary School,4,"6344 Beryl Rd, Alexandria, VA 22312",38.8021203,-77.1575874
Brookfield Elem,4200 Lees Corner Rd,Chantilly,VA,20151,703-814-8700,Elementary School,7,"4200 Lees Corner Rd, Chantilly, VA 20151",38.8821889,-77.419317
Bucknell Elem,6925 University Dr,Alexandria,VA,22307,703-660-2900,Elementary School,6,"6925 University Dr, Alexandria, VA 22307",38.767128,-77.073659
Bull Run Elem,15301 Lee Hwy,Centreville,VA,20121,703-227-1400,Elementary School,7,"15301 Lee Hwy, Centreville, VA 20121",38.8286131,-77.4757065
Bush Hill Elem,5927 Westchester St,Alexandria,VA,22310,703-924-5600,Elementary School,4,"5927 Westchester St, Alexandria, VA 22310",38.7902835,-77.1240346
Camelot Elem,8100 Guinevere Dr,Annandale,VA,22003,703-645-7000,Elementary School,5,"8100 Guinevere Dr, Annandale, VA 22003",38.848159,-77.2250901
Cameron Elem,3434 Campbell Dr,Alexandria,VA,22303,703-329-2100,Elementary School,4,"3434 Campbell Dr, Alexandria, VA 22303",38.800511,-77.091328
Canterbury Woods Elem,4910 Willets Dr,Annandale,VA,22003,703-764-5600,Elementary School,2,"4910 Willets Dr, Annandale, VA 22003",38.820548,-77.2496192
Cardinal Forest Elem,8600 Forrester Blvd,Springfield,VA,22152,703-923-5200,Elementary School,4,"8600 Forrester Blvd, Springfield, VA 22152",38.792071,-77.2405132
Centre Ridge Elem,14400 New Braddock Rd,Centreville,VA,20121,703-227-2600,Elementary School,7,"14400 New Braddock Rd, Centreville, VA 20121",38.8257615,-77.4457727
Centreville Elem,14330 Green Trails Blvd,Centreville,VA,20121,703-502-3500,Elementary School,7,"14330 Green Trails Blvd, Centreville, VA 20121",38.818721,-77.441012
Cherry Run Elem,9732 Ironmaster Dr,Burke,VA,22015,703-923-2800,Elementary School,4,"9732 Ironmaster Dr, Burke, VA 22015",38.768248,-77.283978
Chesterbrook Elem,1753 Kirby Rd,McLean,VA,22101,703-714-8200,Elementary School,1,"1753 Kirby Rd, McLean, VA 22101",38.9184942,-77.1551777
Churchill Road Elem,7100 Churchill Rd,McLean,VA,22101,703-288-8400,Elementary School,3,"7100 Churchill Rd, McLean, VA 22101",38.9466071,-77.1894451
Clearview Elem,12635 Builders Rd,Herndon,VA,22170,703-708-6000,Elementary School,3,"12635 Builders Rd, Herndon, VA 22170",38.9834195,-77.3910151
Clermont Elem,5720 Clermont Dr,Alexandria,VA,22310,703-921-2400,Elementary School,4,"5720 Clermont Dr, Alexandria, VA 22310",38.794406,-77.111636
Coates Elem,2480 River Birch Road,Herndon,VA,20171,703-713-3000,Elementary School,7,"2480 River Birch Road, Herndon, VA 20171",38.952087,-77.4192166
Colin Powell Elem,13340 Leland Rd.,Centreville,VA,20120,571-522-6000,Elementary School,7,"13340 Leland Rd., Centreville, VA 20120",38.8460863,-77.4079164
Columbia Elem,6720 Alpine Dr,Annandale,VA,22003,703-916-2500,Elementary School,2,"6720 Alpine Dr, Annandale, VA 22003",38.8292054,-77.1757882
Colvin Run Elem,1400 Trap Rd,Vienna,VA,22182,703-757-3000,Elementary School,5,"1400 Trap Rd, Vienna, VA 22182",38.9466307,-77.2647014
Crestwood Elem,6010 Hanover Ave,Springfield,VA,22150,703-923-5400,Elementary School,4,"6010 Hanover Ave, Springfield, VA 22150",38.786987,-77.195648
Crossfield Elem,2791 Fox Mill Rd,Herndon,VA,22071,703-295-1100,Elementary School,3,"2791 Fox Mill Rd, Herndon, VA 22071",38.9150073,-77.3621346
Cub Run Elem,5301 Sully Station Dr,Centreville,VA,20120,703-633-7500,Elementary School,7,"5301 Sully Station Dr, Centreville, VA 20120",38.8657159,-77.4586118
Cunningham Park Elem,1001 Park St SE,Vienna,VA,22180,703-255-5600,Elementary School,5,"1001 Park St SE, Vienna, VA 22180",38.8922809,-77.25014
Daniels Run Elem,3705 Old Lee Hwy,Fairfax,VA,22030,703-279-8400,Elementary School,5,"3705 Old Lee Hwy, Fairfax, VA 22030",38.852161,-77.2958542
Deer Park Elem,15109 Carlbern Dr,Centreville,VA,20120,703-802-5000,Elementary School,7,"15109 Carlbern Dr, Centreville, VA 20120",38.8557664,-77.4708875
Dogwood Elem,12300 Glade Dr,Reston,VA,22091,703-262-3100,Elementary School,3,"12300 Glade Dr, Reston, VA 22091",38.9426306,-77.3710324
