Carson Middle,13618 McLearen Rd,Herndon,VA,20171,703-925-3600,Middle School,7,"13618 McLearen Rd, Herndon, VA 20171",38.9274461,-77.4195742
Cooper Middle,977 Balls Hill Rd,McLean,VA,22101,703-442-5800,Middle School,3,"977 Balls Hill Rd, McLean, VA 22101",38.951442,-77.191757
Franklin Middle,3300 Lees Corner Rd,Chantilly,VA,20151,703-904-5100,Middle School,7,"3300 Lees Corner Rd, Chantilly, VA 20151",38.9071034,-77.4205094
Frost Middle,4101 Picket Rd,Fairfax,VA,22032,703-426-5700,Middle School,2,"4101 Picket Rd, Fairfax, VA 22032",38.8364104,-77.2734014
Glasgow Middle,4101 Fairfax Pky,Alexandria,VA,22312,703-813-8700,Middle School,1,"4101 Fairfax Pky, Alexandria, VA 22312",38.8382369,-77.1407618
Herndon Middle,901 Locust St,Herndon,VA,20170,703-904-4800,Middle School,7,"901 Locust St, Herndon, VA 20170",38.9678355,-77.3919279
Holmes Middle,6525 Montrose St,Alexandria,VA,22312,703-658-5900,Middle School,2,"6525 Montrose St, Alexandria, VA 22312",38.815469,-77.162671
Hughes Middle,11401 Ridge Heights Rd,Reston,VA,22191,703-715-3600,Middle School,3,"11401 Ridge Heights Rd, Reston, VA 22191",38.9352989,-77.3385178
Irving Middle,8100 Old Keene Mill Rd,Springfield,VA,22152,703-912-4500,Middle School,4,"8100 Old Keene Mill Rd, Springfield, VA 22152",38.781796,-77.224444
Key Middle,6402 Franconia Rd,Springfield,VA,22150,703-313-3900,Middle School,4,"6402 Franconia Rd, Springfield, VA 22150",38.7797388,-77.1617342
Kilmer Middle,8100 Wolftrap Rd,Vienna,VA,22182,703-846-8800,Middle School,1,"8100 Wolftrap Rd, Vienna, VA 22182",38.9029549,-77.2249886
Lanier Middle,3801 Jermantown Rd,Fairfax,VA,22030,703-934-2400,Middle School,5,"3801 Jermantown Rd, Fairfax, VA 22030",38.859355,-77.328138
Liberty Middle,6801 Union Mill Rd,Clifton,VA,20124,703-988-8100,Middle School,7,"6801 Union Mill Rd, Clifton, VA 20124",38.805535,-77.4177722
Longfellow Middle,2000 Westmoreland St,Falls Church,VA,22043,703-533-2600,Middle School,1,"2000 Westmoreland St, Falls Church, VA 22043",38.9095401,-77.1745481
Luther Jackson Middle,3020 Gallows Rd,Falls Church,VA,22042,703-204-8100,Middle School,5,"3020 Gallows Rd, Falls Church, VA 22042",38.8681917,-77.2293207
Poe Middle,7000 Cindy Lane,Annandale,VA,22003,703-813-3800,Middle School,2,"7000 Cindy Lane, Annandale, VA 22003",38.82056,-77.186791
Rocky Run Middle,4400 Stringfellow Rd,Chantilly,VA,20151,703-802-7700,Middle School,7,"4400 Stringfellow Rd, Chantilly, VA 20151",38.874021,-77.410783
Sandburg Middle,8428 Fort Hunt Rd,Alexandria,VA,22308,703-799-6100,Middle School,6,"8428 Fort Hunt Rd, Alexandria, VA 22308",38.7284879,-77.0618859
South County Middle School,8700 Laurel Crest Drive,Lorton,VA,22079,703-690-5500,Middle School,6,"8700 Laurel Crest Drive, Lorton, VA 22079",38.7191657,-77.2403378
Stone Middle,5500 Sully Park Dr,Centreville,VA,20120,703-631-5500,Middle School,7,"5500 Sully Park Dr, Centreville, VA 20120",38.8576712,-77.4547602
Thoreau Middle,2505 Cedar Lane,Vienna,VA,22180,703-846-8000,Middle School,5,"2505 Cedar Lane, Vienna, VA 22180",38.888557,-77.239571
Twain Middle,4700 Franconia Rd,Alexandria,VA,22310,703-313-3700,Middle School,4,"4700 Franconia Rd, Alexandria, VA 22310",38.790683,-77.113935
Whitman Middle,2500 Parkers Lane,Alexandria,VA,22306,703-660-2400,Middle School,6,"2500 Parkers Lane, Alexandria, VA 22306",38.741506,-77.074185
