Annandale Trans ESOL Center,4700 Medford Dr,Annandale,VA,22003,703-642-4100,Alternative School,2,"4700 Medford Dr, Annandale, VA 22003",38.8219346,-77.2081586
Bryant Aim,2709 Popkins Lane,Alexandria,VA,22306,703-660-2001,Alternative School,6,"2709 Popkins Lane, Alexandria, VA 22306",38.7642237,-77.0800219
Bryant Alc,2709 Popkins Ln,Alexandria,VA,22312,703-658-5800,Alternative School,6,"2709 Popkins Ln, Alexandria, VA 22312",38.7642237,-77.0800219
Bryant Alt High,2709 Popkins Lane,Alexandria,VA,22306,703-660-2000,Alternative School,6,"2709 Popkins Lane, Alexandria, VA 22306",38.7642237,-77.0800219
Bryant Trans Esol Center,2709 Popkins Ln,Alexandria,VA,22306,703-660-2000,Alternative School,6,"2709 Popkins Ln, Alexandria, VA 22306",38.7642237,-77.0800219
Centreville Ctr-Mountain View,5775 Spindle Ct,Centreville,VA,20120,703-227-2316,Alternative School,7,"5775 Spindle Ct, Centreville, VA 20120",38.8375962,-77.4254389
Falls Church Trans Esol Center,7521 Jaguar Trail,Falls Church,VA,22042,,Alternative School,1,"7521 Jaguar Trail, Falls Church, VA 22042",38.861485,-77.207432
Foundations,12720 Lee Hwy,Fairfax,VA,22030,571-423-4360,Alternative School,8,"12720 Lee Hwy, Fairfax, VA 22030",38.8431216,-77.3869825
Juvenile Detention Center,10650 Page Ave,Fairfax,VA,22030,703-246-2915,Alternative School,5,"10650 Page Ave, Fairfax, VA 22030",38.8448136,-77.3134338
Montrose Alc,6525 Montrose St,Alexandria,VA,22312,,Alternative School,2,"6525 Montrose St, Alexandria, VA 22312",38.815469,-77.162671
Mountain View Aim,5775 Spindle Ct,Centreville,VA,20121,703-227-2316,Alternative School,7,"5775 Spindle Ct, Centreville, VA 20121",38.8375962,-77.4254389
Mountain View Alc,5775 Spindle Ct,Centreville,VA,20121,703-227-2316,Alternative School,7,"5775 Spindle Ct, Centreville, VA 20121",38.8375962,-77.4254389
Pimmit Hills Alt High,7510 Lisle Ave,Falls Church,VA,22043,703-506-2344,Alternative School,1,"7510 Lisle Ave, Falls Church, VA 22043",38.9165768,-77.204961
Pimmit Hills Trans Esol Center,7510 Lisle Ave,Falls Church,VA,22043,703-506-2344,Alternative School,1,"7510 Lisle Ave, Falls Church, VA 22043",38.9165768,-77.204961
Rocky Run Early Childhood,4400 Stringfellow Rd,Chantilly,VA,20151,703-802-7700,Alternative School,7,"4400 Stringfellow Rd, Chantilly, VA 20151",38.874021,-77.410783
Stuart Trans Esol Center,3301 Peace Valley Lane,Falls Church,VA,22044,703-824-3900,Alternative School,1,"3301 Peace Valley Lane, Falls Church, VA 22044",38.8567532,-77.1495216
Trans Support Resource Vienna,101 Cedar Lane SW,Vienna,VA,22180,,Alternative School,5,"101 Cedar Lane SW, Vienna, VA 22180",38.883969,-77.246084
Trans Supt Resource Marshall,7731 Leesburg Pike,Falls Church,VA,22043,703-714-5400,Alternative School,1,"7731 Leesburg Pike, Falls Church, VA 22043",38.9051435,-77.2128744
Trans Supt Resource Westfield,4700 Stonecroft Blvd,Chantilly,VA,20151,703-488-3445,Alternative School,7,"4700 Stonecroft Blvd, Chantilly, VA 20151",38.8859718,-77.4658162
Virginia Hills Early Childhood,6520 Diana Ln - Early Childhood Center,Alexandria,VA,22310,703-329-2500,Alternative School,2,"6520 Diana Ln - Early Childhood Center, Alexandria, VA 22310",38.7744483,-77.1022456
Alan Leis Center,7423 Camp Alger Ave,Falls Church,VA,22042,703-698-0400,Center,8,"7423 Camp Alger Ave, Falls Church, VA 22042",38.856876,-77.202425
Burke Alt Learning,9645 Burke Lake Road,Burke,VA,22015,703-426-7300,Center,2,"9645 Burke Lake Road, Burke, VA 22015",38.783736,-77.277936
Burke School,9645 Burke Lake Rd,Burke,VA,22015,703-426-7300,Center,2,"9645 Burke Lake Rd, Burke, VA 22015",38.783736,-77.277936
Cedar Lane School,101 Cedar Lane SW,Vienna,VA,22180,703-208-2400,Center,5,"101 Cedar Lane SW, Vienna, VA 22180",38.883969,-77.246084
Davis Center,7731 Leesburg Pike,Falls Church,VA,22043,703-714-5600,Center,1,"7731 Leesburg Pike, Falls Church, VA 22043",38.9051435,-77.2128744
Dunn Loring Center,2334 Gallows Rd,Dunn Loring,VA,22027,,Center,8,"2334 Gallows Rd, Dunn Loring, VA 22027",38.8956145,-77.2255997
Dunn Loring Early Childhood,2334 Gallows Road,Dunn Loring,VA,22027,,Center,8,"2334 Gallows Road, Dunn Loring, VA 22027",38.8956145,-77.2255997
Forte Center,6800 B Industrial Rd,Springfield,VA,22151,703-658-3665,Center,8,"6800 B Industrial Rd, Springfield, VA 22151",38.798831,-77.180994
Forte Transportation,6800 B Industrial Rd,Springfield,VA,22151,703-658-3665,Center,8,"6800 B Industrial Rd, Springfield, VA 22151",38.798831,-77.180994
Graham Road Community Center,3036 Graham Rd,Falls Church,VA,22042,,Center,,"3036 Graham Rd, Falls Church, VA 22042",38.867847,-77.1954093
Graham Road Trans Esol Center,3036 Graham Rd,Falls Church,VA,22042,,Center,1,"3036 Graham Rd, Falls Church, VA 22042",38.867847,-77.1954093
Herndon Trans Esol Center,700 Bennett St,Herndon,VA,20170,703-810-2200,Center,3,"700 Bennett St, Herndon, VA 20170",38.9861706,-77.3745261
Key Center,6404 Franconia Rd,Springfield,VA,22150,703-313-4000,Center,4,"6404 Franconia Rd, Springfield, VA 22150",38.7800545,-77.1615657
Kilmer Center,8102 Wolftrap Rd,Vienna,VA,22182,571-226-8440,Center,1,"8102 Wolftrap Rd, Vienna, VA 22182",38.9040021,-77.2252888
Lorton Center,8101 Lorton Rd,Lorton,VA,22079,703-446-2000,Center,6,"8101 Lorton Rd, Lorton, VA 22079",38.7039835,-77.2254392
Merrifield Support,8435 Lee Highway,Merrifield,va,22031,571-982-1100,Center,8,"8435 Lee Highway, Merrifield, va 22031",38.8729462,-77.2382659
Nancy Sprague Technology Ctr,4414 Holborn Ave,Annandale,VA,22003,703-503-7400,Center,6,"4414 Holborn Ave, Annandale, VA 22003",38.8268348,-77.2365024
Pimmit Hills Early Childhood,7510 Lisle Ave,Falls Church,VA,22043,703-506-2344,Center,1,"7510 Lisle Ave, Falls Church, VA 22043",38.9165768,-77.204961
Pulley Center,6500 Quander Rd,Alexandria,VA,22307,703-718-2700,Center,6,"6500 Quander Rd, Alexandria, VA 22307",38.7743791,-77.0718216
Quander Road School,6400 Quander Rd,Alexandria,VA,22307,703-718-2400,Center,6,"6400 Quander Rd, Alexandria, VA 22307",38.778668,-77.071661
